EMFb,,Ib,
X,Y,X,Y
2.414812239221142,-10.396547011661823,2.5,-1.2139418863233544
3.1283031988873446,-5.033322704081655,3,0.12169162282710033
3.7228789986091826,0.6921237244897611,3.5,1.6796713130149357
4.376912378303203,6.731106505102019,4,3.4663142815841184
4.912030598052855,11.502311862244852,4.5,5.037139078690025
5.328233657858139,16.17127710459181,5,6.679728649657072
6.220097357440892,25.066167091836718,5.5,8.191763881193424
6.933588317107095,32.42745535714283,6,9.684152279128313
17.299026425591105,100.65569196428571,6.5,11.341260803196072
18.11161335187761,102.47653972303205,7,12.640881254985437
18.94401947148818,103.17761479591836,7.5,14.281136941237506
19.776425591098754,104.17080448250726,8,15.785230165093672
20.60883171070932,104.81345663265304,8.5,17.232397258063997
21.44123783031989,104.81345663265304,9,18.629005995928267
22.273643949930463,104.81345663265304,9.5,20.058754561832046
23.10605006954103,103.70342110058307,10,21.392031733807933
23.843324061196103,102.35969387755101,10.5,22.643749588637775
26.93115438108484,100.65569196428571,11,23.834252315206676
27.743741307371348,97.74428298104955,11.5,25.071316776545963
28.576147426981922,94.18048469387753,12.000000000000004,26.483872020692637
29.40855354659249,89.74034256559766,12.5,27.383444106337294
30.181502086230875,85.08793048469389,12.999999999999996,28.310832365787448
30.954450625869267,80.33425200437317,13.5,29.482308069782015
31.71890522551163,74.14142219387753,14,30.531371763787163
32.30215577190542,68.48413584183672,14.5,31.291380300616282
33.09492350486788,63.15791271865888,15,32.2181497765908
33.78859527121001,57.91932397959181,15.5,32.927128269986554
34.224617524339365,52.568757971938766,16,33.62821016627757
34.90837969401947,46.383231026785694,16.5,34.30343453140589
35.52419034373138,40.31454992711369,17,34.84075677953527
36.22069342340552,33.79065688775506,17.5,35.234208818673665
36.90020862308762,27.519929846938766,18,35.85342730962648
37.43532684283727,21.998963647959158,18.5,36.078147279349395
38.02990264255911,15.66007653061223,19,36.5636596780868
38.683936022253135,8.953124999999972,19.5,36.818940149375614
39.219054242002784,3.9024633290815984,20,36.88692748090395
39.81363004172462,-2.0615433673469568,20.5,36.886927480916086
40.467663421418635,-7.896045918367378,21,36.886927480916086
41.0027816411683,-12.864915497449005,21.5,36.88692704152517
41.561682892906816,-19.265146683673493,22,36.818940166848904
42.25139082058415,-26.05389030612247,22.5,36.750954620293435
49.148470097357446,-91.07860331632656,23,36.47900754139512
53.3105006954103,-100.89365433673476,23.5,36.13292007249581
54.142906815020865,-102.58791909620993,24,35.77898999864353
54.97531293463143,-103.81480047376095,24.5,35.25524800042149
55.807719054242014,-104.5158755466473,25,34.742986392606305
56.64012517385258,-104.57429846938777,25.5,34.1732943157791
57.47253129346315,-104.57429846938777,26,33.54045958674098
58.304937413073716,-104.57429846938777,26.5,32.71997324328211
59.137343532684284,-103.99006924198255,27,31.98343673467167
59.910292072322676,-102.73397640306126,27.5,31.164646105551498
62.94262865090404,-100.77680849125369,28,30.164967216081514
63.77503477051461,-97.73881650874642,28.5,29.39586281087916
64.60744089012518,-94.05817237609335,29,28.228873278338213
65.43984700973574,-89.9685677842566,29.5,27.140465625870533
66.27225312934632,-85.06104227405251,30,26.071651904492875
67.0452016689847,-80.17299107142861,30.5,25.057897573211363
67.75019868865489,-75.01229956268224,31,23.712773727873895
68.39786161335188,-69.25033880739801,31.5,22.38489016030642
69.18567454798331,-63.17841198979596,32,21.202315706049724
69.91898470097358,-57.96795280612247,32.5,19.876952981945777
70.53998609179416,-52.181919642857196,33,18.393026015055604
71.20723226703755,-45.22391183035717,33.5,17.098099436697055
71.99339360222531,-37.45934311224494,34,15.489028075184315
72.69367176634215,-29.792957361516045,34.5,14.256648159118186
,,35,12.7024965597682
,,35.5,11.179206176957805
,,36,9.548401948216679
,,36.5,7.972693307141263
,,37,6.466477648556719
,,37.5,4.904831340772873
,,38,3.4897881775624455
,,38.5,1.6300713365705377
,,39,0.023915805143658986
,,39.5,-1.511130062131997
,,40,-3.2476618586821218
,,40.5,-4.751644752105619
,,41,-6.5231277006793675
,,41.5,-8.11456308765996
,,42,-9.551522481320418
,,42.5,-11.197353306444313
,,42.99999999999999,-12.701030154888059
,,43.50000000000001,-14.216027579385027
,,44,-15.532656083307344
,,44.5,-17.162060647815807
,,45,-18.552862224349923
,,45.5,-19.846432024568088
,,46,-21.181859693585125
,,46.5,-22.539017203551552
,,47,-23.78133689317444
,,47.5,-24.970450626323256
,,48,-26.04825104722501
,,48.5,-27.359629146572956
,,49,-28.22436226015762
,,49.5,-29.277122450624944
,,50,-30.347475083370455
,,50.5,-30.9919462813654
,,51,-32.05616245655237
,,51.5,-32.58110420981885
,,52,-33.36279107742709
,,52.5,-34.022371772790734
,,53,-34.54278289582962
,,53.5,-35.18906244875225
,,54,-35.5356626392788
,,54.5,-36.0521911490212
,,55,-36.26669842952106
,,55.5,-36.563678852474
,,56,-36.59444836251109
,,56.5,-36.81059232964256
,,57,-36.94656436425694
,,57.5,-36.81059155682347
,,58,-36.688763018299696
,,58.5,-36.547097534866424
,,59,-36.19871233892954
,,59.5,-35.87390110024957
,,60,-35.4479427740537
,,60.5,-35.06347549488294
,,61,-34.50374681251125
,,61.5,-34.0231388314173
,,62,-33.287594788270894
,,62.5,-32.58709822116779
,,63,-31.862971163644772
,,63.5,-30.999146167021095
,,64,-30.085497156507316
,,64.5,-29.215323887897327
,,65,-28.1598678633612
,,65.5,-26.94344348677815
,,66,-25.826517959742205
,,66.5,-24.74185959981375
,,67,-23.434873623410724
,,67.5,-22.37687357884043
,,68,-20.91142524485187
,,68.5,-19.726210316639055
,,69,-18.24215376556029
,,69.5,-16.815389120049133
,,70,-15.3699399700579
